Time,sasa,gyrate,hbond,LJSR,CSR
0.0,25.961,0.872499,39.0,-1006.463135,-1405.42395
100.0,27.515,0.885459,49.0,-812.927429,-1801.671753
200.0,27.004,0.878118,45.0,-988.250122,-1546.754272
300.0,26.761,0.876545,41.0,-950.684265,-1601.565308
400.0,26.358,0.87399,42.0,-892.30011,-1542.710327
500.0,26.899,0.876654,44.0,-815.195801,-1635.533081
600.0,27.628,0.88363,48.0,-877.569458,-1570.163818
700.0,26.671,0.880466,36.0,-978.307678,-1322.495483
800.0,26.988,0.883832,43.0,-939.840576,-1458.0354
900.0,26.27,0.889095,44.0,-890.294739,-1521.175659
1000.0,26.419,0.88294,39.0,-971.33136,-1404.189087
1100.0,25.987,0.869183,40.0,-968.842407,-1393.905518
1200.0,25.931,0.86124,42.0,-835.466736,-1587.651611
1300.0,25.247,0.870532,47.0,-884.452576,-1643.938354
1400.0,26.674,0.867109,37.0,-799.456177,-1517.309082
1500.0,25.665,0.878158,41.0,-946.612732,-1475.002319
1600.0,26.607,0.887586,38.0,-1011.714661,-1242.511108
1700.0,26.714,0.87871,36.0,-958.374268,-1351.841675
1800.0,26.811,0.875165,39.0,-952.973755,-1415.384766
1900.0,26.877,0.887847,39.0,-918.865234,-1304.427002
2000.0,26.007,0.884639,42.0,-973.164917,-1537.819214
2100.0,27.105,0.885802,40.0,-933.296143,-1451.307007
2200.0,26.933,0.881076,42.0,-984.827026,-1553.128174
2300.0,26.784,0.880349,44.0,-969.935852,-1412.583984
2400.0,26.549,0.888367,40.0,-961.301331,-1455.646484
2500.0,26.82,0.879903,41.0,-812.816406,-1526.711426
2600.0,26.324,0.849599,43.0,-825.810425,-1624.340698
2700.0,27.231,0.881774,36.0,-933.278076,-1219.220093
2800.0,27.282,0.888586,38.0,-910.619934,-1363.837158
2900.0,26.75,0.883802,39.0,-1034.997192,-1372.722412
3000.0,26.174,0.879783,44.0,-879.046326,-1527.092285
3100.0,28.378,0.913047,42.0,-966.840271,-1418.507324
3200.0,29.282,0.924196,33.0,-953.567444,-1378.655396
3300.0,27.853,0.907683,38.0,-937.902588,-1466.65564
3400.0,27.299,0.890666,35.0,-1000.273743,-1442.633057
3500.0,28.095,0.905517,39.0,-999.751892,-1563.603027
3600.0,28.221,0.917845,47.0,-931.59259,-1640.75769
3700.0,27.231,0.903848,47.0,-1043.922729,-1615.61084
3800.0,27.109,0.893052,40.0,-950.680725,-1420.948486
3900.0,26.134,0.87541,38.0,-909.783203,-1516.908447
4000.0,26.458,0.884232,41.0,-1065.452271,-1350.430054
4100.0,27.31,0.879215,38.0,-955.562012,-1559.465454
4200.0,26.932,0.878236,40.0,-838.446594,-1406.568115
4300.0,26.681,0.88879,39.0,-884.854736,-1487.385742
4400.0,27.292,0.895599,40.0,-818.714172,-1502.345337
4500.0,27.843,0.907231,39.0,-973.460876,-1393.943604
4600.0,27.028,0.896763,44.0,-999.479248,-1554.250488
4700.0,27.309,0.897041,41.0,-961.873535,-1509.357422
4800.0,26.838,0.874759,45.0,-925.316162,-1593.858887
4900.0,26.543,0.882656,43.0,-929.598999,-1611.4729
5000.0,26.834,0.882447,44.0,-936.286194,-1453.240479
5100.0,25.88,0.874584,44.0,-861.059998,-1574.081665
5200.0,25.991,0.867184,42.0,-950.77356,-1478.878418
5300.0,25.757,0.876771,40.0,-879.223389,-1359.906006
5400.0,25.732,0.878687,39.0,-839.69635,-1458.432373
5500.0,27.762,0.898898,33.0,-861.568604,-1169.157349
5600.0,26.546,0.878556,38.0,-900.906372,-1390.935913
5700.0,26.15,0.865201,42.0,-1056.925171,-1391.935791
5800.0,25.659,0.861884,35.0,-932.582153,-1355.940918
5900.0,26.411,0.872806,39.0,-774.140747,-1245.088989
6000.0,27.829,0.893693,39.0,-777.626953,-1439.475708
6100.0,27.008,0.893725,44.0,-787.454407,-1548.722046
6200.0,26.591,0.86411,43.0,-810.681702,-1589.237305
6300.0,25.114,0.864195,39.0,-922.344971,-1434.992065
6400.0,25.668,0.874049,40.0,-971.371277,-1548.926392
6500.0,26.871,0.885531,40.0,-891.124817,-1422.492188
6600.0,25.843,0.866546,45.0,-789.430298,-1669.369385
6700.0,26.546,0.88383,40.0,-955.641235,-1544.802612
6800.0,26.902,0.890722,40.0,-873.236023,-1493.674927
6900.0,26.327,0.882111,41.0,-921.412964,-1612.992432
7000.0,26.477,0.874849,41.0,-895.57196,-1545.243408
7100.0,26.905,0.89415,43.0,-1044.263672,-1469.344238
7200.0,26.699,0.873348,47.0,-870.571411,-1686.971191
7300.0,25.828,0.876268,41.0,-980.774841,-1639.176758
7400.0,25.645,0.882402,39.0,-944.67511,-1449.952637
7500.0,26.831,0.887465,40.0,-921.81189,-1502.871094
7600.0,26.511,0.868409,43.0,-943.170593,-1589.723022
7700.0,26.322,0.881408,36.0,-933.208496,-1300.041504
7800.0,25.839,0.86671,40.0,-887.911743,-1339.919678
7900.0,25.793,0.883381,43.0,-966.792908,-1499.7323
8000.0,26.49,0.888229,43.0,-958.178162,-1392.274292
8100.0,27.256,0.897861,41.0,-820.552246,-1398.848145
8200.0,26.62,0.881915,37.0,-921.385254,-1279.807129
8300.0,26.581,0.871149,38.0,-812.910767,-1433.192871
8400.0,26.776,0.877266,38.0,-825.140137,-1439.010254
8500.0,26.813,0.869799,43.0,-883.86322,-1708.310547
8600.0,26.67,0.874183,43.0,-876.701233,-1654.573242
8700.0,26.112,0.860406,45.0,-846.785706,-1635.142456
8800.0,26.383,0.863677,36.0,-894.824341,-1399.345215
8900.0,26.283,0.874868,40.0,-987.16803,-1439.823853
9000.0,27.088,0.876187,42.0,-924.247192,-1434.200073
9100.0,26.634,0.88,47.0,-878.55188,-1516.439209
9200.0,27.619,0.89192,43.0,-907.454651,-1521.699097
9300.0,27.0,0.89438,40.0,-847.16394,-1467.09082
9400.0,26.428,0.881496,46.0,-893.073914,-1656.503906
9500.0,25.584,0.862101,36.0,-886.735107,-1432.290039
9600.0,25.852,0.879821,46.0,-846.555359,-1703.010498
9700.0,26.657,0.887438,44.0,-885.377502,-1477.206055
9800.0,26.306,0.886903,43.0,-940.649048,-1615.480591
9900.0,26.898,0.894741,40.0,-979.493835,-1342.679565
10000.0,27.199,0.892109,39.0,-981.690247,-1342.674438
10100.0,26.89,0.880113,42.0,-909.441467,-1514.95166
10200.0,27.036,0.881986,42.0,-1029.001709,-1419.807373
10300.0,26.23,0.884872,43.0,-1011.671143,-1502.023926
10400.0,26.733,0.880249,42.0,-947.278137,-1526.239746
10500.0,27.431,0.893055,44.0,-897.984741,-1637.202148
10600.0,27.912,0.894184,42.0,-737.013184,-1571.265747
10700.0,27.859,0.896992,50.0,-908.658264,-1517.728516
10800.0,26.034,0.872997,45.0,-1019.387451,-1506.597656
10900.0,27.168,0.88634,46.0,-907.446289,-1563.2948
11000.0,28.261,0.896638,48.0,-910.76886,-1669.834106
11100.0,26.896,0.869875,44.0,-926.076233,-1677.929199
11200.0,26.386,0.860461,42.0,-1045.855103,-1478.512695
11300.0,27.252,0.871983,52.0,-962.06427,-1638.556885
11400.0,27.801,0.883087,43.0,-813.478943,-1309.576904
11500.0,27.256,0.878041,43.0,-1007.495178,-1628.091064
11600.0,27.214,0.889984,47.0,-991.629639,-1489.874512
11700.0,27.026,0.89076,45.0,-938.355591,-1524.877686
11800.0,27.306,0.881085,39.0,-972.543152,-1466.48999
11900.0,27.184,0.901392,45.0,-964.462708,-1490.225708
12000.0,27.044,0.8837,43.0,-830.325256,-1647.05188
12100.0,27.401,0.89014,38.0,-978.104797,-1348.922485
12200.0,27.921,0.902075,36.0,-1052.125488,-1262.410278
12300.0,27.021,0.875917,40.0,-807.47052,-1556.850342
12400.0,26.986,0.876024,39.0,-873.865662,-1585.865845
12500.0,27.412,0.879797,42.0,-888.303955,-1574.919434
12600.0,26.086,0.875086,47.0,-942.758118,-1705.72522
12700.0,26.531,0.890688,40.0,-1011.495422,-1323.600098
12800.0,27.195,0.873038,45.0,-859.069336,-1631.273682
12900.0,27.286,0.887312,40.0,-862.701843,-1337.267334
13000.0,27.812,0.881731,45.0,-856.365417,-1577.616333
13100.0,27.51,0.892362,41.0,-993.300049,-1361.245483
13200.0,26.949,0.875483,45.0,-962.05249,-1564.514648
13300.0,27.19,0.878701,49.0,-895.451233,-1711.647339
13400.0,27.498,0.879028,45.0,-918.55304,-1484.323853
13500.0,27.236,0.885405,42.0,-1004.631958,-1508.791626
13600.0,26.691,0.883196,41.0,-948.720947,-1527.272339
13700.0,27.605,0.882612,44.0,-894.417542,-1478.303223
13800.0,27.144,0.879528,44.0,-965.408813,-1616.685303
13900.0,26.951,0.87549,46.0,-905.324219,-1633.564331
14000.0,27.349,0.890507,41.0,-950.387512,-1509.849976
14100.0,27.95,0.891206,39.0,-1029.88147,-1429.851318
14200.0,27.189,0.886534,40.0,-954.926758,-1497.636963
14300.0,27.199,0.886296,38.0,-875.195435,-1339.835083
14400.0,26.529,0.870039,46.0,-846.182983,-1674.633789
14500.0,27.493,0.883007,48.0,-820.127014,-1797.173828
14600.0,26.557,0.876235,43.0,-865.45874,-1729.700806
14700.0,27.43,0.880368,44.0,-931.680481,-1464.805542
14800.0,28.311,0.881915,48.0,-954.236511,-1650.58252
14900.0,27.45,0.884742,48.0,-957.065918,-1665.642212
15000.0,27.496,0.888128,43.0,-922.539124,-1372.816162
15100.0,28.149,0.884523,46.0,-954.286194,-1638.951904
15200.0,27.586,0.89396,43.0,-904.785461,-1541.43396
15300.0,27.537,0.877103,40.0,-975.515503,-1404.875977
15400.0,27.909,0.885336,45.0,-963.831055,-1596.999756
15500.0,27.229,0.883174,37.0,-916.308655,-1316.093628
15600.0,28.704,0.875232,39.0,-818.151978,-1419.830444
15700.0,26.804,0.871777,45.0,-902.887878,-1619.350342
15800.0,26.662,0.875259,48.0,-901.705444,-1720.274292
15900.0,26.78,0.877185,45.0,-940.019714,-1554.335693
16000.0,27.701,0.878886,46.0,-982.297424,-1569.641846
16100.0,26.889,0.880325,33.0,-1022.691467,-1307.839844
16200.0,26.714,0.869025,39.0,-916.901794,-1509.907959
16300.0,27.318,0.879402,42.0,-867.119812,-1551.169922
16400.0,28.085,0.881549,44.0,-899.03717,-1654.703125
16500.0,27.33,0.877187,45.0,-951.930847,-1586.928711
16600.0,27.22,0.873721,41.0,-869.051758,-1570.659546
16700.0,27.162,0.878536,41.0,-922.200806,-1542.524536
16800.0,27.79,0.874726,45.0,-887.31012,-1408.252563
16900.0,27.232,0.879878,41.0,-892.187805,-1431.685669
17000.0,27.51,0.882997,42.0,-882.054932,-1428.470093
17100.0,28.305,0.897764,41.0,-828.136414,-1420.695312
17200.0,28.118,0.881542,41.0,-1003.71344,-1328.291626
17300.0,27.841,0.891007,42.0,-798.256653,-1615.270996
17400.0,26.722,0.862248,43.0,-775.047607,-1658.150146
17500.0,28.037,0.885291,37.0,-789.880859,-1321.731567
17600.0,27.718,0.883993,45.0,-1009.785889,-1394.867432
17700.0,26.547,0.869711,42.0,-884.635315,-1549.814453
17800.0,27.929,0.888025,41.0,-855.742981,-1432.561646
17900.0,27.739,0.87684,42.0,-941.263977,-1417.741089
18000.0,26.648,0.886554,41.0,-856.1651,-1601.794922
18100.0,26.917,0.88023,45.0,-911.301331,-1627.998047
18200.0,26.738,0.88069,41.0,-854.420654,-1476.12146
18300.0,26.948,0.87569,45.0,-951.059814,-1550.07373
18400.0,27.051,0.882265,43.0,-1063.82959,-1410.234863
18500.0,27.552,0.891771,38.0,-838.5578,-1358.187988
18600.0,26.777,0.8738,41.0,-934.826599,-1362.452515
18700.0,27.471,0.877176,39.0,-939.756165,-1422.065796
18800.0,26.807,0.873208,46.0,-928.607117,-1555.398926
18900.0,26.958,0.875858,39.0,-942.846558,-1465.557617
19000.0,28.167,0.89622,44.0,-954.130493,-1452.589722
19100.0,28.092,0.887046,37.0,-909.173767,-1362.850708
19200.0,27.56,0.87928,43.0,-1007.867004,-1421.13208
19300.0,28.243,0.88715,39.0,-939.636902,-1222.432861
19400.0,28.003,0.896232,43.0,-839.199585,-1546.937622
19500.0,27.945,0.886501,39.0,-906.365662,-1403.2771
19600.0,27.362,0.888089,42.0,-947.678955,-1452.247437
19700.0,27.514,0.888456,44.0,-941.601562,-1513.859375
19800.0,26.274,0.876495,38.0,-854.301636,-1447.664185
19900.0,27.57,0.89982,33.0,-934.892578,-1363.372803
20000.0,25.701,0.870074,40.0,-808.835632,-1475.588135
20100.0,26.085,0.892593,35.0,-981.05719,-1283.339722
20200.0,26.825,0.883034,44.0,-877.780762,-1561.783081
20300.0,27.551,0.880473,36.0,-963.209351,-1364.061157
20400.0,26.96,0.876061,38.0,-914.379456,-1291.668701
20500.0,26.87,0.874209,37.0,-909.628906,-1230.651733
20600.0,26.898,0.877254,39.0,-940.959839,-1259.253174
20700.0,25.703,0.850359,37.0,-969.303162,-1346.229492
20800.0,26.251,0.862873,33.0,-840.185364,-1343.143066
20900.0,27.074,0.887747,39.0,-866.407715,-1452.260132
21000.0,25.528,0.867726,35.0,-942.192505,-1377.325195
21100.0,26.613,0.878179,38.0,-920.267395,-1354.533081
21200.0,27.575,0.881758,43.0,-796.763672,-1483.139771
21300.0,26.956,0.868299,34.0,-919.868896,-1230.072266
21400.0,25.839,0.868859,33.0,-800.786194,-1463.476807
21500.0,25.765,0.868233,37.0,-842.013,-1470.736938
21600.0,27.108,0.88008,38.0,-945.804626,-1243.401978
21700.0,25.574,0.857786,42.0,-866.24231,-1486.326416
21800.0,26.666,0.865413,41.0,-978.905334,-1370.873535
21900.0,26.485,0.864845,40.0,-987.524902,-1320.824219
22000.0,25.635,0.856008,35.0,-916.314209,-1256.928345
22100.0,26.946,0.851732,38.0,-913.950562,-1279.730103
22200.0,27.368,0.887785,45.0,-988.189453,-1544.072266
22300.0,27.802,0.883656,41.0,-990.863647,-1455.729248
22400.0,27.831,0.885691,43.0,-951.924866,-1472.192139
22500.0,27.158,0.887753,38.0,-890.51123,-1397.441772
22600.0,27.589,0.884266,40.0,-1023.322998,-1487.324219
22700.0,28.591,0.902123,40.0,-828.205322,-1518.220947
