Time,LJSR,CSR,Density
0.0,-22158.572266,-314198.03125,1060.811768
10.0,-21360.560547,-314573.625,1054.44873
20.0,-21696.996094,-314256.875,1056.825684
30.0,-21466.972656,-314837.34375,1049.615723
40.0,-21817.806641,-314661.15625,1070.709717
50.0,-21584.662109,-314635.65625,1068.154053
60.0,-22313.873047,-314165.0625,1052.885742
70.0,-22401.435547,-314083.46875,1062.991211
80.0,-21514.357422,-314495.84375,1056.571533
90.0,-21322.699219,-314725.40625,1069.468506
100.0,-21595.564453,-314503.1875,1066.082275
110.0,-21469.242188,-314544.875,1068.074341
120.0,-21328.212891,-315512.0625,1066.260986
130.0,-21708.460938,-314820.03125,1057.060669
140.0,-21891.59375,-314200.4375,1062.967896
150.0,-21862.580078,-314358.90625,1070.569092
160.0,-21935.746094,-314836.71875,1063.562134
170.0,-22372.216797,-314247.03125,1065.400391
180.0,-22268.976562,-314289.65625,1061.885376
190.0,-21652.347656,-314747.21875,1072.822021
200.0,-21402.773438,-314588.75,1054.034668
210.0,-21267.435547,-315559.15625,1062.256958
220.0,-21420.376953,-315196.0,1065.091553
230.0,-21705.539062,-313909.28125,1061.870117
240.0,-22070.654297,-313869.84375,1058.571289
250.0,-21934.535156,-314288.28125,1058.912476
260.0,-22128.765625,-314229.65625,1056.30542
270.0,-21531.582031,-315288.625,1055.588623
280.0,-21982.068359,-314071.40625,1067.060303
290.0,-21626.244141,-314529.625,1054.421875
300.0,-22275.720703,-313924.0625,1058.908813
310.0,-21852.736328,-314617.9375,1070.066772
320.0,-21607.892578,-314221.1875,1060.781982
330.0,-22202.136719,-313837.8125,1068.45105
340.0,-21563.128906,-314624.96875,1067.393677
350.0,-21926.1875,-313762.625,1071.798218
360.0,-21537.443359,-315123.53125,1071.145386
370.0,-21518.984375,-314984.21875,1077.574951
380.0,-21867.808594,-314135.625,1065.138916
390.0,-21854.730469,-314153.78125,1061.838989
400.0,-21667.345703,-314538.71875,1061.959473
410.0,-21418.210938,-314646.625,1065.639404
420.0,-21367.535156,-314964.25,1064.064331
430.0,-21639.03125,-315132.3125,1072.251953
440.0,-21803.369141,-314774.25,1058.532837
450.0,-21822.384766,-314517.65625,1062.34375
460.0,-22171.087891,-313977.5,1069.00354
470.0,-21710.962891,-315170.125,1079.557739
480.0,-22253.746094,-314530.96875,1070.627686
490.0,-21845.482422,-314153.78125,1069.532837
500.0,-21920.261719,-314451.375,1063.473633
510.0,-21600.291016,-314724.0,1062.022095
520.0,-22347.796875,-313167.75,1063.388794
530.0,-21785.384766,-314726.65625,1076.307861
540.0,-21812.263672,-314099.875,1071.621094
550.0,-22240.65625,-313612.6875,1071.890625
560.0,-21392.257812,-315251.53125,1071.188599
570.0,-21281.845703,-315110.59375,1080.451538
580.0,-21767.148438,-314365.4375,1067.960083
590.0,-21308.740234,-315299.09375,1077.886963
600.0,-22142.806641,-314097.84375,1076.141846
610.0,-22014.339844,-314222.21875,1067.007202
620.0,-22018.132812,-313694.21875,1066.182373
630.0,-21626.226562,-314896.96875,1061.499878
640.0,-22218.832031,-313872.4375,1075.814575
650.0,-21896.263672,-314279.4375,1073.028442
660.0,-21765.615234,-314325.59375,1069.160645
670.0,-21735.619141,-314022.28125,1074.392334
680.0,-21884.082031,-314235.46875,1070.199341
690.0,-22040.890625,-314941.75,1086.565918
700.0,-21779.134766,-315185.5,1072.208984
710.0,-21817.0,-314697.9375,1069.321167
720.0,-21377.5625,-314444.65625,1067.005615
730.0,-21934.244141,-314457.9375,1073.75415
740.0,-21650.496094,-315224.28125,1082.028076
750.0,-21821.742188,-314959.34375,1070.886719
760.0,-21606.859375,-314540.78125,1075.59021
770.0,-21394.078125,-314910.125,1068.240234
780.0,-21481.146484,-314891.3125,1069.654663
790.0,-21548.416016,-315166.625,1074.741455
800.0,-21364.359375,-314983.71875,1063.706787
810.0,-21632.060547,-314723.625,1062.149902
820.0,-21536.857422,-315102.53125,1072.49939
830.0,-21890.412109,-314781.6875,1063.705933
840.0,-21695.052734,-314591.09375,1068.86853
850.0,-21807.275391,-314740.4375,1072.535645
860.0,-21558.730469,-315011.15625,1076.296875
870.0,-21601.425781,-315199.4375,1079.002563
880.0,-21977.166016,-314379.96875,1075.961792
890.0,-21514.998047,-315324.5,1067.7229
900.0,-21432.396484,-315513.28125,1077.666016
910.0,-22311.269531,-314122.6875,1079.173584
920.0,-21834.265625,-314594.03125,1075.655762
930.0,-22048.785156,-313897.0,1076.440308
940.0,-21608.447266,-314754.53125,1078.644043
950.0,-21261.923828,-315342.71875,1076.598267
960.0,-21359.414062,-315387.125,1068.456421
970.0,-21578.609375,-315140.40625,1069.207275
980.0,-21241.603516,-315283.75,1064.719482
990.0,-21442.732422,-315604.625,1067.046631
1000.0,-21542.453125,-314538.625,1067.674561
1010.0,-21089.865234,-315315.9375,1069.104126
1020.0,-22082.455078,-314567.1875,1069.811523
1030.0,-21703.416016,-314936.9375,1072.861938
1040.0,-21622.544922,-315110.90625,1068.438965
1050.0,-21735.851562,-315483.6875,1078.550781
1060.0,-21032.023438,-316254.5,1074.846436
1070.0,-21785.449219,-314857.0625,1067.039795
1080.0,-21729.275391,-315073.21875,1065.582031
1090.0,-21835.300781,-315819.59375,1079.277832
1100.0,-21443.662109,-315637.40625,1072.628784
1110.0,-21786.416016,-314774.75,1073.258301
1120.0,-21624.773438,-315302.46875,1077.576782
1130.0,-21164.884766,-315799.71875,1086.232544
1140.0,-21468.539062,-314900.09375,1071.145142
1150.0,-22018.34375,-314559.53125,1071.92395
1160.0,-21731.613281,-315056.3125,1071.941406
1170.0,-21852.105469,-315252.15625,1075.299194
1180.0,-21763.652344,-314901.1875,1072.421631
1190.0,-21676.126953,-314879.53125,1064.292847
1200.0,-21691.835938,-315530.0625,1071.895508
1210.0,-21701.583984,-315043.71875,1059.32019
1220.0,-22114.490234,-315086.09375,1082.289795
1230.0,-21795.294922,-314742.4375,1069.613403
1240.0,-21763.931641,-315818.15625,1072.494019
1250.0,-21415.625,-314907.15625,1070.774048
1260.0,-21976.328125,-314316.71875,1070.228027
1270.0,-21722.136719,-315138.59375,1068.040527
1280.0,-22026.482422,-314797.125,1066.429077
1290.0,-21626.572266,-314845.53125,1067.560425
1300.0,-22025.867188,-314745.34375,1073.205811
1310.0,-22096.90625,-314794.125,1067.485962
1320.0,-21851.962891,-314350.90625,1064.766479
1330.0,-21382.859375,-315615.375,1078.47644
1340.0,-21519.126953,-315437.125,1069.517212
1350.0,-21455.138672,-315694.5625,1077.452759
1360.0,-21714.111328,-315105.0625,1072.04541
1370.0,-21834.572266,-315025.0625,1080.414307
1380.0,-21773.060547,-315001.53125,1067.682007
1390.0,-21983.46875,-314386.34375,1075.778809
1400.0,-22131.091797,-314866.125,1086.280518
1410.0,-22321.462891,-314773.1875,1072.998169
1420.0,-21866.667969,-315073.9375,1066.74646
1430.0,-21665.396484,-314908.25,1062.511963
1440.0,-21344.191406,-315331.4375,1074.990479
1450.0,-21600.734375,-315303.1875,1071.185547
1460.0,-21539.609375,-315300.25,1077.364624
1470.0,-21750.927734,-315615.21875,1074.251343
1480.0,-21405.072266,-315253.5625,1073.939453
1490.0,-21809.609375,-314717.75,1079.476196
1500.0,-21878.320312,-315060.25,1071.350708
1510.0,-21515.306641,-315853.59375,1088.807129
1520.0,-21288.857422,-315540.75,1083.630737
1530.0,-21780.298828,-315167.90625,1080.647461
1540.0,-21416.914062,-315726.875,1073.686157
1550.0,-21676.337891,-315175.65625,1074.56665
1560.0,-21645.306641,-315125.78125,1080.50708
1570.0,-21623.556641,-315194.09375,1070.119141
1580.0,-21534.619141,-314854.90625,1073.663452
1590.0,-21617.847656,-315900.21875,1081.621826
