Time,LJSR,CSR,Density
0.0,1620.970825,-265214.3125,1318.662964
10.0,967.73053,-265115.84375,1312.699097
20.0,1257.95874,-264383.96875,1312.192261
30.0,1385.98584,-264868.21875,1320.581055
40.0,1505.098145,-264865.28125,1312.293457
50.0,1038.544189,-264194.15625,1311.465454
60.0,1268.865356,-264139.90625,1312.556763
70.0,938.952332,-264951.375,1325.759033
80.0,1419.064331,-264302.125,1323.282349
90.0,2156.680176,-265954.4375,1321.130615
100.0,1126.793945,-264583.9375,1316.788696
110.0,1142.413696,-264795.28125,1313.606567
120.0,787.345459,-263885.59375,1304.962402
130.0,1470.289673,-264928.78125,1311.710449
140.0,1379.404785,-265107.0625,1314.219727
150.0,1513.319824,-265814.125,1320.06897
160.0,1500.056152,-265524.5,1320.467896
170.0,679.154358,-265175.0,1318.00647
180.0,1328.326294,-265057.9375,1316.203247
190.0,971.03894,-264951.71875,1313.939697
200.0,608.247375,-264393.5625,1320.586792
210.0,1380.212891,-264901.25,1315.826904
220.0,1720.681641,-265457.125,1320.056763
230.0,284.236115,-263482.71875,1309.203247
240.0,714.630554,-264694.9375,1316.635254
250.0,1145.765625,-265060.5,1320.165649
260.0,1497.682007,-264741.6875,1317.65686
270.0,1045.146362,-264786.15625,1316.437866
280.0,408.923492,-264290.1875,1316.289917
290.0,1460.369263,-264518.34375,1314.795044
300.0,1193.115601,-265123.28125,1313.072632
310.0,742.095215,-264980.90625,1315.063965
320.0,1604.34082,-265747.53125,1321.337769
330.0,1430.200806,-265147.25,1316.161743
340.0,1612.625122,-265168.125,1316.94751
350.0,1030.068115,-264246.90625,1318.900635
360.0,1642.2229,-265642.65625,1320.431885
370.0,1598.641113,-265409.25,1319.433594
380.0,1964.090698,-265611.25,1314.766724
390.0,900.743164,-264333.65625,1323.107666
400.0,880.073608,-263451.875,1315.929077
410.0,1188.770508,-264537.6875,1316.769043
420.0,2407.987061,-266371.875,1329.80127
430.0,1231.880737,-264594.34375,1325.012207
440.0,1124.437134,-263999.75,1312.028198
450.0,1317.463013,-265210.4375,1320.422729
460.0,1488.492554,-264991.21875,1313.5448
470.0,1778.170654,-265374.09375,1316.412842
480.0,1341.596069,-265399.34375,1306.744263
490.0,1435.743286,-264873.5,1319.42688
500.0,1409.882324,-265232.21875,1323.315063
510.0,962.499023,-264792.59375,1328.078003
520.0,905.21875,-264464.5625,1318.240845
530.0,1355.296753,-265036.59375,1316.071411
540.0,1601.586548,-264788.09375,1313.593262
550.0,840.769409,-264699.875,1310.70166
560.0,576.557617,-264093.3125,1315.185303
570.0,964.249939,-264426.3125,1313.104614
580.0,1461.182251,-264022.25,1316.726318
590.0,1898.78479,-265721.125,1315.150391
600.0,1112.087891,-264139.53125,1311.522583
610.0,1120.203979,-264639.6875,1316.243774
620.0,1370.62793,-264755.9375,1317.368896
630.0,1737.371826,-265039.71875,1321.987305
640.0,1512.855713,-264565.625,1318.822144
650.0,1226.453735,-265159.96875,1319.246094
660.0,1133.682617,-263968.46875,1320.622437
670.0,1865.589966,-265917.84375,1319.734619
680.0,1084.608887,-264834.46875,1311.960693
690.0,1350.414307,-265177.96875,1315.473267
700.0,821.681763,-264103.3125,1319.053467
710.0,1011.9505,-264611.84375,1320.73938
720.0,650.802734,-264117.65625,1314.207397
730.0,1528.636475,-265518.65625,1321.373779
740.0,1369.543335,-265145.6875,1319.93811
750.0,1208.223633,-264677.8125,1315.37854
760.0,1436.529907,-264613.1875,1317.183472
770.0,855.065002,-264752.40625,1317.304565
780.0,1290.785645,-264782.65625,1318.272705
790.0,1026.945068,-263836.78125,1315.100708
800.0,1889.037598,-265430.5625,1324.248535
810.0,886.369446,-264476.53125,1317.700562
820.0,1956.138062,-265317.0,1319.618408
830.0,2092.576172,-265230.59375,1317.370483
840.0,1787.816406,-265843.8125,1322.658447
850.0,1474.033203,-265132.5625,1320.518066
860.0,1424.925415,-264677.125,1317.776733
870.0,1255.928467,-264606.40625,1322.273926
880.0,1405.289551,-263962.46875,1312.067993
890.0,1411.869507,-264791.6875,1315.454468
900.0,1154.059692,-264764.71875,1316.008667
910.0,1061.350952,-264226.375,1312.333984
920.0,1671.694458,-265174.21875,1319.29834
930.0,1814.839844,-265647.40625,1316.568237
940.0,1017.262634,-263602.0625,1310.926758
950.0,1368.309937,-264814.125,1317.291748
