Time,LJSR,CSR,Density
0.0,3227.89624,-301446.84375,1324.121826
10.0,3545.872314,-302461.46875,1324.591431
20.0,3558.097168,-301972.46875,1326.984497
30.0,3230.329346,-300815.0,1324.46106
40.0,3814.284668,-302159.3125,1329.458496
50.0,3891.904785,-302856.03125,1329.693726
60.0,3778.84375,-302512.75,1323.553955
70.0,3448.689453,-301160.8125,1326.68042
80.0,3293.008789,-301284.625,1313.125488
90.0,3511.411377,-301367.9375,1330.072754
100.0,3613.163086,-301384.875,1330.842529
110.0,3873.61084,-302823.03125,1332.266235
120.0,3660.696289,-301484.15625,1327.066895
130.0,4257.723633,-302037.15625,1332.02063
140.0,3406.130371,-300587.75,1318.817993
150.0,3273.126953,-301203.8125,1325.954712
160.0,3675.962646,-301890.09375,1323.910767
170.0,3734.5,-301246.28125,1320.375366
180.0,3750.959961,-301487.1875,1328.320312
190.0,3544.844727,-301214.21875,1324.164429
200.0,3975.38916,-302015.15625,1328.411133
210.0,3370.345459,-301842.6875,1318.999878
220.0,2996.309082,-300820.6875,1327.626709
230.0,3443.529785,-301442.65625,1319.925293
240.0,3643.658936,-301790.125,1334.132202
250.0,3338.666992,-301421.625,1330.488647
260.0,3279.739502,-301794.6875,1323.502075
270.0,2722.217041,-300715.9375,1320.89978
280.0,2623.066406,-300375.09375,1324.124878
290.0,3763.27002,-302104.0,1325.490234
300.0,2974.968994,-301057.59375,1327.276245
310.0,3397.496826,-302133.46875,1329.574829
320.0,3141.907715,-301310.15625,1321.737305
330.0,2992.787354,-301078.1875,1320.125122
340.0,4071.656006,-302925.46875,1331.915039
350.0,3206.901367,-302167.875,1327.858887
360.0,4119.671387,-302157.6875,1333.543701
370.0,3293.892822,-301335.875,1330.542847
380.0,3832.015625,-302872.9375,1336.828857
390.0,2952.505859,-300835.59375,1312.561279
400.0,3623.185059,-302516.3125,1323.529907
410.0,3793.533691,-302236.84375,1325.84375
420.0,3970.510742,-303184.65625,1327.333374
430.0,3576.801025,-301511.125,1332.433472
440.0,3670.370361,-302032.1875,1327.824707
450.0,3506.873291,-301772.5,1322.026855
460.0,3541.579834,-301178.84375,1323.456543
470.0,4506.631348,-302963.4375,1326.516479
480.0,2996.864502,-301104.5,1322.470703
490.0,3824.76123,-302023.09375,1324.654297
500.0,4264.403809,-302150.1875,1326.975586
510.0,3448.903564,-301352.375,1318.081421
520.0,4092.898438,-302328.75,1328.424561
530.0,3577.324219,-301662.25,1318.079956
540.0,3689.021484,-301432.25,1323.037598
550.0,3695.081055,-301390.8125,1323.461182
560.0,4179.465332,-302393.125,1328.422729
570.0,3450.343506,-301880.15625,1329.072632
580.0,3594.552246,-302168.15625,1328.745605
590.0,3810.346191,-302658.03125,1332.828979
600.0,3555.840576,-301352.59375,1325.416138
610.0,2636.028076,-301275.21875,1333.856567
620.0,3561.450928,-302137.0625,1319.679321
630.0,3159.37793,-301594.875,1318.497192
640.0,3437.019287,-302196.46875,1325.86438
650.0,3269.297852,-301613.125,1329.864014
660.0,3022.763672,-301282.3125,1325.076904
670.0,4119.059082,-302236.8125,1331.717529
680.0,3466.536133,-301834.875,1326.5
690.0,3307.430664,-300668.34375,1323.868042
700.0,3888.835693,-301920.9375,1328.375244
710.0,2847.626221,-300944.3125,1321.127319
720.0,3322.42627,-301596.4375,1328.281494
730.0,2340.402832,-299770.75,1318.899902
740.0,2485.736084,-300326.875,1322.41626
750.0,3419.475098,-301788.25,1326.607666
760.0,3003.822754,-301135.03125,1323.765991
770.0,3667.74292,-301770.8125,1330.033569
780.0,3746.033691,-301642.03125,1328.266113
790.0,2978.875977,-301140.96875,1320.112549
800.0,3318.415771,-300973.75,1320.817871
810.0,3430.692627,-301167.25,1329.859375
820.0,2145.961914,-300307.5,1326.637939
830.0,3187.318359,-300943.8125,1326.626343
840.0,3497.13501,-301414.25,1322.593872
850.0,4230.00293,-303379.28125,1334.874146
