Time,sasa,gyrate,hbond,LJSR,CSR
0.0,26.147,0.869622,50.0,-851.422241,-1601.257324
100.0,26.862,0.878932,53.0,-838.156372,-1735.361084
200.0,26.756,0.876153,55.0,-794.235168,-1799.280273
300.0,26.811,0.879151,53.0,-823.649231,-1804.80603
400.0,26.608,0.882573,61.0,-880.799866,-1887.997681
500.0,27.14,0.883074,55.0,-901.273315,-1851.326904
600.0,27.269,0.878122,64.0,-756.999756,-2093.641357
700.0,27.672,0.888579,58.0,-822.518677,-1943.055542
800.0,27.06,0.882094,59.0,-689.473083,-1982.889526
900.0,27.239,0.885892,57.0,-898.381409,-1871.658936
1000.0,27.118,0.88411,58.0,-874.821228,-1852.397949
1100.0,26.697,0.890406,56.0,-889.68512,-1789.504639
1200.0,26.604,0.880491,59.0,-862.94574,-1875.557251
1300.0,26.816,0.887264,54.0,-923.305115,-1871.11084
1400.0,26.686,0.891527,55.0,-884.644287,-1908.023926
1500.0,27.102,0.88836,55.0,-857.41217,-1975.794189
1600.0,27.007,0.889181,58.0,-851.463196,-1921.055664
1700.0,26.682,0.892513,58.0,-937.364929,-1833.209839
1800.0,26.56,0.896067,49.0,-894.604736,-1823.154175
1900.0,27.482,0.895388,59.0,-839.450684,-2004.778076
2000.0,27.115,0.882446,56.0,-729.815369,-1839.668701
2100.0,27.224,0.887739,62.0,-744.751343,-1981.178589
2200.0,27.161,0.887807,62.0,-866.414062,-1906.929199
2300.0,26.719,0.882573,60.0,-798.039307,-1963.76355
2400.0,26.624,0.887495,51.0,-848.170959,-1774.706299
2500.0,26.918,0.894462,57.0,-855.72052,-1876.037109
2600.0,26.441,0.886289,51.0,-890.356384,-1703.573242
2700.0,27.44,0.886824,58.0,-844.982849,-1846.166748
2800.0,26.531,0.891727,52.0,-780.612854,-1854.371338
2900.0,26.57,0.881479,54.0,-780.356445,-1838.269653
3000.0,26.947,0.888238,55.0,-731.132874,-2015.003174
3100.0,26.769,0.887556,59.0,-740.656189,-1841.983154
3200.0,27.058,0.885255,57.0,-822.543762,-1864.165771
3300.0,26.362,0.881555,62.0,-771.913452,-1952.419922
3400.0,26.808,0.895267,60.0,-885.208618,-1926.904541
3500.0,26.373,0.897361,56.0,-772.996094,-1958.908813
3600.0,27.069,0.884091,55.0,-797.010681,-1873.792603
3700.0,26.216,0.877872,59.0,-859.238037,-1870.5625
