Time,sasa,gyrate,hbond,LJSR,CSR
0.0,25.678,0.871879,48.0,-729.724304,-1625.536377
100.0,26.503,0.888303,53.0,-691.561157,-1649.260498
200.0,26.835,0.880506,50.0,-758.326477,-1689.066772
300.0,25.887,0.875511,55.0,-725.688354,-1714.17041
400.0,25.979,0.862723,56.0,-663.041992,-1731.343506
500.0,25.998,0.878431,57.0,-703.831421,-1843.819458
600.0,26.707,0.884043,52.0,-617.762939,-1882.634766
700.0,26.335,0.889661,58.0,-672.142212,-1810.33667
800.0,25.871,0.881287,59.0,-616.319275,-1843.016235
900.0,26.75,0.873754,50.0,-707.56366,-1798.373779
1000.0,27.418,0.881977,45.0,-677.774841,-1683.607178
1100.0,26.576,0.873489,55.0,-723.056885,-1796.111084
1200.0,26.642,0.880729,50.0,-756.793701,-1708.88501
1300.0,25.717,0.868052,54.0,-688.77417,-1883.141846
1400.0,26.579,0.875618,52.0,-690.591736,-1832.887695
1500.0,27.047,0.895409,60.0,-624.848633,-2043.758301
1600.0,27.945,0.887904,54.0,-870.732178,-1766.228149
1700.0,27.355,0.886236,49.0,-794.173828,-1898.918457
1800.0,27.475,0.890384,58.0,-685.98407,-2040.192261
1900.0,26.932,0.896747,55.0,-702.957153,-1857.765381
2000.0,26.066,0.881466,50.0,-764.676697,-1629.831665
2100.0,27.295,0.905385,55.0,-767.454224,-1992.393311
2200.0,26.826,0.895214,49.0,-789.703857,-1762.12793
2300.0,27.876,0.902307,61.0,-744.331787,-2076.612549
2400.0,26.685,0.907836,54.0,-748.036438,-1884.046997
2500.0,26.169,0.885617,56.0,-778.412781,-1814.712646
2600.0,27.112,0.910818,55.0,-815.568726,-1834.431396
2700.0,27.477,0.905607,61.0,-736.511597,-2028.297485
2800.0,26.712,0.907769,64.0,-737.441284,-2077.108398
2900.0,27.539,0.917528,58.0,-695.331238,-1909.133057
3000.0,26.812,0.915199,58.0,-820.534729,-2061.966797
3100.0,26.901,0.906845,59.0,-746.123474,-1978.294434
3200.0,27.206,0.915977,59.0,-741.375061,-1916.304443
3300.0,27.352,0.913535,61.0,-796.437195,-1893.128418
3400.0,27.654,0.914512,65.0,-760.531677,-2082.379395
3500.0,27.089,0.910077,62.0,-698.836609,-2078.50415
3600.0,27.013,0.903143,63.0,-691.440552,-2121.078857
3700.0,27.145,0.904775,56.0,-794.988892,-1845.390747
3800.0,26.369,0.904896,58.0,-694.465881,-2028.688965
3900.0,26.731,0.912876,60.0,-721.943481,-1934.835815
4000.0,26.678,0.901699,57.0,-786.140991,-1851.756226
4100.0,26.946,0.914205,58.0,-757.383728,-1910.02356
4200.0,26.819,0.899257,54.0,-750.788879,-1826.115356
4300.0,26.963,0.898133,59.0,-670.751282,-2026.966187
4400.0,27.397,0.902949,56.0,-737.104797,-2056.997314
4500.0,27.293,0.903642,59.0,-779.511536,-1918.248657
4600.0,26.091,0.892214,54.0,-716.255615,-1869.36377
4700.0,26.665,0.891935,58.0,-714.79895,-1888.533569
4800.0,26.85,0.906309,58.0,-761.106689,-1805.052979
4900.0,27.011,0.901814,57.0,-697.229919,-1864.736328
5000.0,26.664,0.902415,57.0,-747.011719,-1940.419189
5100.0,26.925,0.910673,53.0,-769.775757,-1783.504883
5200.0,27.184,0.916846,61.0,-733.215027,-1798.387451
5300.0,26.93,0.915937,52.0,-745.180908,-1825.483398
5400.0,27.999,0.921049,57.0,-738.028687,-1842.063477
5500.0,26.612,0.908597,53.0,-740.776978,-1955.361328
5600.0,26.714,0.92432,53.0,-819.191406,-1836.442749
5700.0,27.514,0.923985,57.0,-780.546692,-1892.621704
5800.0,26.791,0.924793,60.0,-781.830078,-1918.610107
5900.0,28.52,0.926932,53.0,-765.890564,-1741.464844
6000.0,28.487,0.930419,54.0,-882.052246,-1838.841553
6100.0,29.73,0.947333,59.0,-773.677307,-1948.631104
6200.0,27.385,0.922378,59.0,-714.224243,-2040.61731
6300.0,27.367,0.907072,62.0,-729.899536,-2028.08728
6400.0,28.313,0.911814,53.0,-743.404175,-2013.9198
6500.0,27.816,0.908121,61.0,-702.242249,-2015.251343
6600.0,27.483,0.910586,57.0,-737.36322,-2003.21814
6700.0,28.24,0.910502,57.0,-749.963806,-2095.817627
6800.0,27.538,0.907588,57.0,-730.852417,-2128.049072
6900.0,28.139,0.922346,62.0,-730.802368,-2241.190186
7000.0,27.64,0.913453,57.0,-804.472107,-2038.582764
7100.0,28.547,0.911661,60.0,-845.905212,-1965.598633
7200.0,29.169,0.92896,60.0,-696.975891,-2003.237671
7300.0,27.865,0.920344,57.0,-771.003418,-1899.308105
7400.0,28.474,0.925154,62.0,-646.157715,-2161.821045
7500.0,28.017,0.930187,61.0,-732.035156,-1955.584473
7600.0,27.083,0.916241,63.0,-771.985779,-2032.126221
7700.0,28.535,0.924456,69.0,-669.372131,-2144.633057
7800.0,29.268,0.925777,67.0,-726.048157,-2197.213379
7900.0,29.888,0.931651,69.0,-769.076477,-2146.198242
8000.0,29.246,0.933098,57.0,-757.228882,-1962.593628
8100.0,27.974,0.916104,62.0,-695.891907,-2148.043457
8200.0,26.796,0.911598,67.0,-771.874817,-2088.632324
8300.0,26.54,0.899854,60.0,-650.610596,-2109.591553
8400.0,27.626,0.914925,66.0,-638.566833,-2146.93335
8500.0,27.932,0.933012,59.0,-789.547607,-2183.216797
8600.0,28.412,0.928889,66.0,-635.359802,-2269.863281
8700.0,27.528,0.923124,66.0,-549.368103,-2218.281494
8800.0,27.827,0.924123,66.0,-628.253723,-2221.022217
8900.0,27.641,0.925485,61.0,-718.357849,-2066.569824
9000.0,27.288,0.914502,63.0,-747.231323,-2116.349609
9100.0,27.53,0.921306,65.0,-763.653259,-2125.664551
9200.0,27.316,0.923492,65.0,-745.740479,-2190.943604
9300.0,27.606,0.919785,68.0,-756.760498,-2327.846436
9400.0,27.367,0.908904,67.0,-769.05072,-2258.720703
9500.0,27.28,0.907751,63.0,-798.41394,-2039.099487
9600.0,27.033,0.896234,68.0,-687.155884,-2339.886719
9700.0,27.182,0.901066,66.0,-803.04303,-2090.37085
9800.0,28.817,0.915842,61.0,-755.693298,-2096.968262
9900.0,27.35,0.909885,65.0,-830.626953,-2153.029541
10000.0,28.402,0.925302,63.0,-791.67804,-2101.593994
10100.0,27.762,0.919365,59.0,-752.115417,-2107.844727
10200.0,27.08,0.909166,61.0,-705.62616,-2101.794434
10300.0,27.396,0.913528,57.0,-722.056519,-2111.35083
10400.0,27.843,0.921511,62.0,-666.610657,-2146.319824
10500.0,28.09,0.917631,56.0,-800.730652,-1975.197754
10600.0,27.385,0.91311,59.0,-778.202393,-1931.77771
10700.0,27.259,0.911496,59.0,-780.235291,-2096.818848
10800.0,27.847,0.919764,59.0,-797.787598,-1978.839844
10900.0,27.223,0.914407,63.0,-861.683289,-1885.495972
11000.0,27.111,0.911985,63.0,-766.827332,-2035.224365
11100.0,27.431,0.905993,64.0,-708.534058,-2162.655518
11200.0,26.579,0.901462,64.0,-681.800781,-2092.446533
11300.0,27.022,0.901715,60.0,-798.10321,-2009.176636
11400.0,27.366,0.900755,68.0,-752.980957,-2266.474365
11500.0,26.435,0.898585,56.0,-788.356689,-2034.467529
11600.0,26.804,0.901426,64.0,-757.938721,-2086.206299
11700.0,26.855,0.900294,65.0,-721.356079,-2100.05127
11800.0,26.571,0.894973,62.0,-751.613586,-1965.163086
11900.0,25.852,0.893005,64.0,-583.713806,-2216.544434
12000.0,25.55,0.887729,60.0,-673.224976,-2083.439453
12100.0,25.641,0.88899,58.0,-744.313782,-1983.758301
12200.0,26.877,0.901713,58.0,-777.498291,-2024.919678
12300.0,26.555,0.890094,56.0,-746.761169,-1960.25
12400.0,26.719,0.884528,58.0,-777.718994,-1940.749634
12500.0,26.298,0.882206,61.0,-736.590271,-2030.721436
12600.0,26.155,0.884421,62.0,-689.360229,-2136.295654
12700.0,26.688,0.890647,53.0,-755.612732,-1847.113159
12800.0,26.837,0.879947,59.0,-724.772217,-2088.786865
12900.0,27.15,0.890425,62.0,-847.626831,-1949.154297
13000.0,26.494,0.896077,61.0,-794.74231,-2071.235352
13100.0,26.002,0.883557,62.0,-688.170227,-2116.994629
13200.0,25.909,0.877392,57.0,-757.207947,-2058.327881
13300.0,26.524,0.888875,62.0,-770.754456,-2119.135986
13400.0,26.409,0.89693,65.0,-768.266602,-2038.201172
13500.0,27.332,0.900203,65.0,-905.386353,-1937.420166
13600.0,26.688,0.90058,67.0,-672.56958,-2159.579346
13700.0,26.351,0.897108,63.0,-730.281494,-1971.21875
13800.0,25.713,0.884223,61.0,-742.30249,-1992.720215
13900.0,25.749,0.897626,63.0,-679.738525,-2172.026123
14000.0,26.37,0.890355,62.0,-714.22467,-2147.403809
14100.0,26.85,0.891492,62.0,-721.454285,-2077.108398
14200.0,27.07,0.894897,63.0,-687.582886,-2014.170776
14300.0,26.66,0.902697,61.0,-821.134277,-2060.059326
14400.0,27.264,0.903628,61.0,-864.85791,-1897.872437
14500.0,26.664,0.904234,62.0,-767.062378,-2032.419434
14600.0,26.17,0.89374,57.0,-757.990845,-1936.318115
14700.0,27.519,0.904036,58.0,-807.906677,-1884.480957
14800.0,26.518,0.888695,62.0,-805.411621,-2021.325684
14900.0,26.517,0.897716,57.0,-813.390503,-1893.804077
15000.0,25.913,0.891431,58.0,-829.826538,-1987.097168
15100.0,27.687,0.901287,62.0,-705.963196,-2146.425781
15200.0,27.334,0.891675,62.0,-694.84906,-2042.14856
15300.0,28.123,0.906843,55.0,-819.574036,-2023.787964
15400.0,26.822,0.897036,57.0,-783.473877,-1979.035156
15500.0,26.252,0.899413,60.0,-798.860779,-2072.215332
15600.0,26.884,0.900344,57.0,-770.541504,-2153.29126
15700.0,27.821,0.901991,56.0,-855.001099,-1878.976196
15800.0,27.208,0.89218,59.0,-802.700195,-1855.706909
15900.0,27.524,0.891185,58.0,-807.694214,-1946.434814
16000.0,27.553,0.902889,62.0,-720.522217,-1956.446533
16100.0,27.233,0.901902,61.0,-807.616943,-1887.361328
16200.0,26.952,0.907492,59.0,-802.317078,-1966.164062
16300.0,29.127,0.906121,59.0,-833.49823,-2011.454346
16400.0,27.215,0.905871,60.0,-725.48407,-2090.855469
16500.0,28.418,0.899737,60.0,-690.76532,-1950.236328
16600.0,27.688,0.898221,57.0,-794.355408,-1938.087036
16700.0,27.257,0.902568,65.0,-681.819092,-2224.498047
16800.0,27.486,0.900847,64.0,-775.819397,-2003.953003
16900.0,27.88,0.898506,59.0,-813.997925,-1951.896973
17000.0,28.45,0.904445,65.0,-835.463013,-1874.779175
17100.0,28.026,0.902448,64.0,-858.376953,-1861.393799
17200.0,27.636,0.913731,72.0,-739.453735,-2144.241699
17300.0,28.15,0.903744,60.0,-783.36731,-1950.884644
17400.0,27.912,0.903687,64.0,-689.844482,-2290.474854
17500.0,28.159,0.902799,57.0,-818.192505,-2060.220215
17600.0,28.722,0.918038,62.0,-771.280151,-2021.236572
17700.0,28.124,0.905216,62.0,-825.529419,-1937.318481
17800.0,28.555,0.901697,65.0,-785.5849,-2038.912598
17900.0,28.421,0.90216,61.0,-831.679321,-1998.240845
18000.0,28.94,0.908359,64.0,-813.964172,-2046.696777
18100.0,27.322,0.903635,68.0,-810.018127,-2084.754883
18200.0,28.18,0.909077,65.0,-746.745544,-2070.736084
18300.0,28.392,0.911869,61.0,-859.77655,-1788.777466
18400.0,28.564,0.91067,69.0,-735.063416,-2256.875977
18500.0,28.539,0.906885,68.0,-807.894531,-2186.807373
18600.0,27.954,0.908848,67.0,-836.247681,-2064.735596
18700.0,28.079,0.899397,63.0,-846.500977,-1928.763672
18800.0,29.376,0.914358,69.0,-815.860657,-2021.659912
18900.0,28.624,0.911273,63.0,-787.922363,-2013.794067
19000.0,28.13,0.903234,64.0,-811.758423,-2001.31958
19100.0,27.562,0.907963,65.0,-651.292236,-2067.871338
19200.0,28.079,0.906135,54.0,-817.70343,-1843.244873
19300.0,27.748,0.902017,62.0,-682.507996,-2099.449463
19400.0,28.602,0.901144,57.0,-744.501892,-1885.898438
19500.0,27.797,0.901741,69.0,-819.486267,-2020.89502
19600.0,27.864,0.899461,65.0,-750.567566,-1999.672607
19700.0,28.893,0.90647,61.0,-720.945496,-2009.408447
19800.0,28.328,0.898165,65.0,-811.793579,-1970.568604
19900.0,29.232,0.920748,61.0,-693.115845,-2126.215332
20000.0,28.623,0.924062,67.0,-729.085938,-2178.27417
20100.0,29.212,0.924329,65.0,-753.660217,-2026.899658
20200.0,29.196,0.927023,69.0,-788.004028,-2156.840088
20300.0,29.903,0.938635,59.0,-876.227539,-1990.160156
20400.0,29.066,0.93421,68.0,-762.106873,-2172.494629
20500.0,28.604,0.926943,75.0,-776.814209,-2328.95752
20600.0,29.972,0.931439,64.0,-782.39502,-2098.879883
20700.0,28.41,0.920352,64.0,-792.329407,-1959.704956
20800.0,28.719,0.914602,64.0,-858.010681,-1986.977905
20900.0,28.418,0.915475,61.0,-795.219177,-2000.400635
21000.0,28.805,0.903611,56.0,-857.781494,-1969.858521
21100.0,28.528,0.89836,68.0,-852.533936,-2100.85376
21200.0,28.334,0.902981,62.0,-822.893433,-2082.225098
21300.0,28.765,0.910094,58.0,-754.17041,-2082.647217
21400.0,28.237,0.902303,62.0,-824.358765,-2073.073486
21500.0,29.552,0.907751,61.0,-786.360291,-1939.670044
21600.0,29.612,0.921657,64.0,-813.095764,-2073.52002
21700.0,29.415,0.914599,58.0,-769.646118,-2126.70874
21800.0,29.786,0.933816,60.0,-727.433228,-2213.241211
21900.0,30.831,0.934958,60.0,-829.0802,-2104.699463
22000.0,29.102,0.930654,60.0,-829.468811,-2000.650635
22100.0,30.052,0.931893,58.0,-834.814636,-1882.447021
22200.0,28.65,0.921918,56.0,-846.254272,-1935.035889
22300.0,29.918,0.937891,57.0,-861.539673,-1839.271118
22400.0,28.685,0.911625,59.0,-757.512695,-1927.525269
22500.0,29.852,0.932112,62.0,-757.101196,-2060.880371
22600.0,29.707,0.911,59.0,-789.81366,-2117.885742
22700.0,30.248,0.90948,65.0,-817.746094,-2020.624756
22800.0,29.483,0.93425,62.0,-674.842896,-1995.820801
22900.0,29.251,0.917611,60.0,-794.966614,-1966.233521
23000.0,29.219,0.918382,59.0,-708.583191,-1999.437866
23100.0,29.28,0.909325,57.0,-778.282349,-2023.299927
23200.0,30.001,0.921616,56.0,-773.786255,-1854.399414
23300.0,29.218,0.927126,58.0,-724.215515,-2072.047607
23400.0,30.059,0.930311,62.0,-785.108154,-1905.90564
23500.0,29.706,0.920268,62.0,-655.346436,-2057.88916
23600.0,29.554,0.917165,66.0,-716.546387,-2257.353027
23700.0,28.969,0.92117,62.0,-718.019287,-2093.265381
23800.0,28.928,0.90737,62.0,-768.504639,-2057.365479
23900.0,29.313,0.909905,63.0,-802.153137,-1975.906372
24000.0,30.586,0.917727,62.0,-845.298523,-2028.820801
24100.0,29.911,0.913698,61.0,-809.617249,-1956.177734
24200.0,30.514,0.923391,68.0,-793.862183,-2108.382568
24300.0,28.883,0.919937,70.0,-719.400513,-2243.310303
24400.0,29.124,0.91181,63.0,-751.785645,-2206.182129
24500.0,28.56,0.906455,60.0,-744.823975,-2106.747314
24600.0,29.215,0.920528,68.0,-855.495361,-2053.677734
24700.0,28.735,0.924877,65.0,-706.525757,-2113.621338
24800.0,27.992,0.922259,63.0,-802.242249,-2102.348389
24900.0,29.048,0.927762,63.0,-678.690796,-2180.017578
25000.0,28.812,0.920909,67.0,-717.376038,-2132.816895
25100.0,28.452,0.913224,66.0,-857.800598,-2092.776855
25200.0,27.927,0.92538,66.0,-805.310608,-2189.132324
25300.0,29.438,0.917324,62.0,-689.780884,-2148.217041
25400.0,29.536,0.932754,61.0,-725.014771,-2063.340332
25500.0,29.51,0.924009,60.0,-736.429321,-2137.558594
25600.0,28.957,0.922177,54.0,-782.990173,-1980.142334
25700.0,29.669,0.929298,55.0,-802.130615,-1808.866455
25800.0,28.988,0.920284,65.0,-775.335388,-2088.706055
25900.0,28.909,0.91151,57.0,-823.134033,-1764.216797
26000.0,28.55,0.919979,60.0,-702.605774,-2148.785889
26100.0,28.167,0.925132,62.0,-668.788757,-2169.029053
26200.0,28.852,0.928883,63.0,-779.423035,-2041.90979
26300.0,28.136,0.922067,56.0,-815.960144,-1936.518677
26400.0,27.306,0.918283,56.0,-790.564636,-1993.870361
26500.0,27.437,0.910435,51.0,-843.592163,-1716.890991
26600.0,28.499,0.921567,53.0,-778.491821,-1881.771973
26700.0,28.5,0.922449,66.0,-748.557068,-1998.218628
26800.0,29.116,0.926976,59.0,-816.267517,-1925.260376
26900.0,28.923,0.930286,64.0,-587.385132,-2238.602539
27000.0,28.272,0.92117,61.0,-687.286743,-2052.954102
27100.0,28.283,0.920469,60.0,-768.503601,-2072.629639
27200.0,28.808,0.930216,58.0,-727.678589,-2040.787598
27300.0,26.846,0.920202,57.0,-851.540771,-1738.669067
27400.0,27.338,0.925406,59.0,-739.794128,-2068.400635
27500.0,27.825,0.918068,54.0,-781.910828,-1990.348022
27600.0,27.598,0.9379,55.0,-786.697144,-1822.041138
27700.0,28.72,0.93105,54.0,-834.544434,-1808.904297
27800.0,28.967,0.937772,56.0,-731.707092,-1985.598511
27900.0,28.606,0.926069,60.0,-779.681091,-1998.10022
28000.0,27.829,0.925767,64.0,-639.705444,-2099.676514
28100.0,27.588,0.914717,64.0,-723.12439,-2004.299561
28200.0,27.277,0.917786,60.0,-805.140869,-1970.426392
28300.0,27.446,0.914,57.0,-606.766418,-2123.296631
28400.0,27.554,0.928499,59.0,-722.890198,-2078.26416
28500.0,28.461,0.935697,61.0,-724.771667,-2186.947998
28600.0,28.634,0.935295,61.0,-804.274292,-1890.584717
28700.0,28.14,0.915147,56.0,-809.989319,-1991.744019
28800.0,27.859,0.912412,56.0,-707.943542,-1956.033447
28900.0,29.316,0.930963,69.0,-700.882446,-2152.766113
29000.0,29.028,0.927043,56.0,-843.711243,-1853.531616
29100.0,27.942,0.926177,60.0,-694.651733,-1955.045044
29200.0,29.078,0.933914,51.0,-804.956848,-1885.847656
29300.0,27.778,0.935621,63.0,-740.081116,-2057.508545
29400.0,28.392,0.94493,53.0,-826.528259,-1739.345947
29500.0,29.063,0.951314,64.0,-750.145996,-1980.665771
29600.0,28.421,0.932175,60.0,-784.710571,-1899.186768
29700.0,28.215,0.94004,57.0,-780.338196,-2064.284912
29800.0,28.964,0.937328,65.0,-632.297729,-2193.094238
29900.0,28.276,0.948074,57.0,-756.57135,-1974.540161
30000.0,28.485,0.957875,56.0,-832.686768,-1852.45166
30100.0,29.077,0.9412,63.0,-769.952515,-1987.182373
30200.0,28.285,0.935347,62.0,-674.612976,-2101.859131
30300.0,29.312,0.947474,63.0,-722.796265,-2036.82666
30400.0,28.763,0.943623,61.0,-796.493164,-1975.204346
30500.0,28.929,0.94607,59.0,-725.527466,-1944.630737
30600.0,28.545,0.943786,55.0,-794.867432,-1822.118774
30700.0,28.551,0.949455,59.0,-696.132385,-2017.914917
30800.0,28.371,0.965821,61.0,-863.641113,-2019.098999
30900.0,28.775,0.947796,59.0,-822.729858,-1933.121094
31000.0,28.903,0.954531,63.0,-756.64856,-2051.774902
31100.0,29.072,0.959266,65.0,-686.687805,-2192.644775
31200.0,27.996,0.943122,54.0,-760.563843,-2011.016479
31300.0,28.098,0.949514,60.0,-738.088318,-2135.647217
31400.0,27.715,0.949158,54.0,-858.507324,-1910.310791
31500.0,28.725,0.971952,62.0,-694.600952,-2094.44873
31600.0,29.087,0.964356,62.0,-744.373779,-2091.80249
31700.0,29.143,0.949102,57.0,-725.787231,-2015.957153
31800.0,28.643,0.95823,61.0,-750.514404,-1989.809937
31900.0,29.562,0.965024,56.0,-840.283508,-1795.801514
32000.0,28.622,0.953743,64.0,-767.830688,-2003.165527
32100.0,29.672,0.971362,59.0,-905.623657,-1756.372559
32200.0,29.518,0.956655,65.0,-625.093506,-2089.763916
32300.0,28.265,0.940255,67.0,-811.941772,-1970.081543
32400.0,28.698,0.948786,64.0,-860.251099,-1943.955933
32500.0,29.019,0.942293,61.0,-733.78894,-1998.418213
32600.0,28.288,0.947576,62.0,-791.392029,-2095.294189
32700.0,28.961,0.957345,65.0,-761.179138,-2137.064941
32800.0,27.323,0.926459,64.0,-801.307373,-2012.847412
32900.0,28.696,0.951382,62.0,-720.546814,-2095.098633
33000.0,28.772,0.946754,58.0,-791.765198,-1995.596069
33100.0,28.73,0.943533,61.0,-753.985474,-2142.257324
33200.0,29.436,0.957529,63.0,-805.774353,-1908.725098
33300.0,27.899,0.95043,59.0,-850.127808,-1977.695068
33400.0,28.387,0.939532,57.0,-767.373962,-1843.584839
33500.0,28.248,0.943296,63.0,-763.14856,-2115.588135
33600.0,28.646,0.945106,61.0,-825.218384,-1945.644409
33700.0,29.32,0.953038,51.0,-849.20105,-1866.467163
